"","PEARNVAL","A_AGE","PRDTRACE","A_SEX","A_HGA","A_MARITL","PEHSPNON","MIG_DIV","A_USLHRS","A_CLSWKR","A_MJIND","A_MJOCC","MOOP","HEAbin","earnbin"
"69230",33000,27,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",35,"Private","Educational and health services","Professional and related occupations",4000,"Good","0"
"69255",55000,63,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",700,"Good","0"
"69261",4000,51,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",20,"Government","Educational and health services","Professional and related occupations",770,"Good","0"
"69282",78000,61,"White only","female","Associate degree in college - academic program","Divorced","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",1015,"Good","1"
"69300",52000,61,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Service occupations",2600,"Good","0"
"69316",140000,35,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","south atlantic",60,"Private","Construction","Construction and extraction occupations",100,"Good","1"
"69324",200000,65,"White only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",60,"Private","Other services","Management, business, and financial occupations",10500,"Good","1"
"69329",39400,42,"White only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Transportation and utilities","Production occupations",770,"Good","0"
"69364",55000,56,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Office and administrative support occupations",4230,"Good","0"
"69367",40000,48,"Black only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Transportation and material moving occupations",2900,"Good","0"
"69397",200000,35,"Asian only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Management, business, and financial occupations",550,"Good","1"
"69409",21000,38,"White only","female","10th grade","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Service occupations",250,"Good","0"
"69413",34000,46,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Wholesale and retail trade","Sales and related occupations",1600,"Good","0"
"69429",75000,47,"Black only","female","Some college but no degree","Never married","No","south atlantic",40,"Private","Wholesale and retail trade","Professional and related occupations",3750,"Good","1"
"69435",250000,40,"White only","male","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Married - civilian spouse present","No","south atlantic",40,"Self-employed","Professional and business services","Professional and related occupations",600,"Good","1"
"69437",110000,48,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","south atlantic",34,"Private","Educational and health services","Professional and related occupations",6600,"Good","1"
"69442",25000,29,"Black only","male","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",40,"Private","Wholesale and retail trade","Transportation and material moving occupations",1100,"Good","0"
"69449",70000,55,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Transportation and utilities","Management, business, and financial occupations",4000,"Good","1"
"69470",75000,67,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Widowed","No","south atlantic",40,"Government","Public administration","Office and administrative support occupations",775,"Good","1"
"69487",131000,31,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",50,"Private","Educational and health services","Management, business, and financial occupations",2600,"Good","1"
"69490",54000,27,"White only","female","Associate degree in college - occupation/vocation program","Never married","No","south atlantic",36,"Private","Educational and health services","Professional and related occupations",3400,"Good","0"
"69512",35000,54,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","south atlantic",40,"Private","Wholesale and retail trade","Sales and related occupations",750,"Good","0"
"69522",26000,30,"Asian only","male","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","south atlantic",40,"Private","Leisure and hospitality","Service occupations",700,"Good","0"
"69524",23000,65,"White only","female","Associate degree in college - academic program","Widowed","No","south atlantic",40,"Private","Professional and business services","Office and administrative support occupations",39,"Good","0"
"69548",120000,30,"White only","male","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Never married","No","south atlantic",35,"Private","Professional and business services","Professional and related occupations",350,"Good","1"
"69559",115000,29,"White only","female","Doctorate degree (for example: PHD,EDD)","Never married","No","south atlantic",40,"Private","Wholesale and retail trade","Professional and related occupations",1200,"Good","1"
"69562",65800,38,"Black only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","south atlantic",40,"Government","Professional and business services","Management, business, and financial occupations",1925,"Good","1"
"69568",75000,38,"Black only","male","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","south atlantic",60,"Government","Public administration","Service occupations",675,"Good","1"
"69571",50000,46,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",37,"Private","Other services","Service occupations",100,"Good","0"
"69572",20000,46,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",20,"Private","Other services","Service occupations",20,"Good","0"
"69589",50000,32,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Financial activities","Professional and related occupations",350,"Good","0"
"69591",28000,29,"Black only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Leisure and hospitality","Service occupations",250,"Good","0"
"69623",92000,42,"White only","female","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","south atlantic",45,"Private","Educational and health services","Professional and related occupations",400,"Good","1"
"69638",80000,51,"Black only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Transportation and utilities","Transportation and material moving occupations",150,"Good","1"
"69647",143000,44,"Asian only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Transportation and utilities","Professional and related occupations",3200,"Good","1"
"69649",45000,24,"White only","female","10th grade","Married - civilian spouse present","Yes","south atlantic",40,"Private","Wholesale and retail trade","Production occupations",30,"Good","0"
"69653",72000,47,"Black only","male","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",9500,"Good","1"
"69654",48000,45,"Black only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Management, business, and financial occupations",125,"Good","0"
"69655",7000,19,"Black only","male","Some college but no degree","Never married","No","south atlantic",28,"Private","Financial activities","Office and administrative support occupations",160,"Good","0"
"69657",60000,48,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Production occupations",2590,"Good","0"
"69663",50000,23,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","Yes","south atlantic",40,"Government","Public administration","Management, business, and financial occupations",390,"Good","0"
"69689",18000,20,"Black only","female","Some college but no degree","Never married","No","south atlantic",40,"Private","Leisure and hospitality","Service occupations",300,"Good","0"
"69697",55000,44,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Service occupations",800,"Good","0"
"69714",24000,46,"Black only","female","12th grade no diploma","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Service occupations",3525,"Good","0"
"69758",130000,35,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Financial activities","Management, business, and financial occupations",2000,"Good","1"
"69809",27000,55,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","south atlantic",40,"Private","Professional and business services","Service occupations",3660,"Good","0"
"69815",23140,24,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Financial activities","Office and administrative support occupations",6400,"Good","0"
"69830",10800,27,"Black only","male","Associate degree in college - occupation/vocation program","Never married","No","south atlantic",25,"Private","Transportation and utilities","Transportation and material moving occupations",300,"Good","0"
"69839",25000,31,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",40,"Private","Information","Installation, maintenance, and repair occupations",350,"Good","0"
"69855",47000,45,"White only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Office and administrative support occupations",1783,"Good","0"
"69863",50000,45,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Educational and health services","Professional and related occupations",220,"Good","0"
"69874",125000,33,"White only","female","Some college but no degree","Divorced","No","south atlantic",72,"Government","Public administration","Service occupations",2880,"Good","1"
"69912",28000,23,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",40,"Private","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",3900,"Good","0"
"69913",24000,24,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",40,"Private","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",175,"Good","0"
"69924",70000,36,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",50,"Government","Educational and health services","Professional and related occupations",4100,"Good","1"
"69925",56000,33,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",300,"Good","0"
"69928",116200,31,"White only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Professional and related occupations",200,"Good","1"
"69940",16800,37,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Educational and health services","Professional and related occupations",1700,"Good","0"
"69974",18482,39,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - AF spouse present","No","south atlantic",40,"Government","Information","Office and administrative support occupations",100,"Good","0"
"69987",35000,35,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","Yes","south atlantic",40,"Self-employed","Construction","Construction and extraction occupations",4520,"Good","0"
"69992",52000,61,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",36,"Government","Educational and health services","Professional and related occupations",1379,"Good","0"
"70005",31000,26,"Black only","male","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",40,"Private","Construction","Installation, maintenance, and repair occupations",10900,"Good","0"
"70006",75000,68,"Black only","male","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Wholesale and retail trade","Service occupations",6000,"Good","1"
"70034",20000,50,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",40,"Government","Public administration","Professional and related occupations",1350,"Good","0"
"70037",16000,27,"White only","female","High school graduate - high school diploma or equivalent","Never married","Yes","south atlantic",40,"Government","Public administration","Professional and related occupations",40,"Good","0"
"70041",63738,29,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","west south central",40,"Government","Public administration","Professional and related occupations",2700,"Good","1"
"70048",35000,38,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Wholesale and retail trade","Management, business, and financial occupations",4440,"Bad","0"
"70049",35000,32,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",2420,"Good","0"
"70095",40000,25,"White only","male","High school graduate - high school diploma or equivalent","Never married","Yes","south atlantic",40,"Private","Professional and business services","Installation, maintenance, and repair occupations",1460,"Good","0"
"70101",26000,29,"Black only","male","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",38,"Private","Transportation and utilities","Transportation and material moving occupations",100,"Good","0"
"70112",12480,22,"Asian only","male","Some college but no degree","Never married","No","south atlantic",30,"Private","Leisure and hospitality","Sales and related occupations",4010,"Good","0"
"70135",110000,35,"Asian only","female","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","south atlantic",40,"Private","Professional and business services","Office and administrative support occupations",890,"Good","1"
"70145",74000,35,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Financial activities","Management, business, and financial occupations",2100,"Good","1"
"70156",79500,49,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Government","Educational and health services","Management, business, and financial occupations",3150,"Good","1"
"70192",30000,25,"Black only","male","11th grade","Never married","No","south atlantic",40,"Private","Construction","Construction and extraction occupations",810,"Good","0"
"70219",35000,24,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",2800,"Good","0"
"70249",54960,38,"Black only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Wholesale and retail trade","Sales and related occupations",3925,"Good","0"
"70268",60000,32,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Construction","Construction and extraction occupations",1452,"Good","0"
"70287",20000,74,"Black only","female","Associate degree in college - academic program","Married - civilian spouse present","No","south atlantic",25,"Private","Educational and health services","Professional and related occupations",185,"Good","0"
"70288",70000,46,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",45,"Private","Financial activities","Management, business, and financial occupations",4610,"Good","1"
"70294",30000,26,"White only","male","Some college but no degree","Married - civilian spouse present","No","south atlantic",55,"Private","Construction","Construction and extraction occupations",6075,"Good","0"
"70296",25000,48,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",60,"Private","Leisure and hospitality","Management, business, and financial occupations",4700,"Good","0"
"70302",60000,58,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Manufacturing","Construction and extraction occupations",410,"Good","0"
"70358",200000,66,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","south atlantic",50,"Private","Professional and business services","Management, business, and financial occupations",500,"Good","1"
"70365",68000,57,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","south atlantic",40,"Private","Wholesale and retail trade","Office and administrative support occupations",2800,"Good","1"
"70369",38000,60,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Other services","Transportation and material moving occupations",3500,"Good","0"
"70431",52000,29,"Black only","female","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",400,"Good","0"
"70434",49000,48,"White only","male","High school graduate - high school diploma or equivalent","Married - spouse absent (exc.separated)","Yes","south atlantic",60,"Private","Leisure and hospitality","Management, business, and financial occupations",50,"Good","0"
"70442",110000,41,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",10,"Self-employed","Wholesale and retail trade","Sales and related occupations",0,"Good","1"
"70450",75000,41,"White only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Other services","Professional and related occupations",0,"Good","1"
"70460",50000,30,"Asian only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Leisure and hospitality","Service occupations",3150,"Good","0"
"70462",110000,52,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",1050,"Good","1"
"70469",140000,57,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Management, business, and financial occupations",300,"Good","1"
"70486",25000,53,"White only","male","Some college but no degree","Married - civilian spouse present","Yes","south atlantic",40,"Self-employed","Other services","Production occupations",2800,"Bad","0"
"70491",200000,52,"White only","male","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Financial activities","Management, business, and financial occupations",5550,"Good","1"
"70557",110000,32,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Financial activities","Professional and related occupations",6050,"Good","1"
"70572",82000,31,"White-Black","male","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Manufacturing","Professional and related occupations",6600,"Good","1"
"70573",55000,30,"White only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",20,"Private","Educational and health services","Service occupations",0,"Good","0"
"70595",89000,28,"Asian only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",1600,"Good","1"
"70599",121750,41,"Black only","male","Some college but no degree","Married - civilian spouse present","Yes","south atlantic",40,"Private","Professional and business services","Installation, maintenance, and repair occupations",9642,"Good","1"
"70602",65000,54,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","south atlantic",40,"Self-employed","Educational and health services","Service occupations",275,"Good","1"
"70609",75000,48,"Black only","female","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Never married","No","south atlantic",45,"Private","Professional and business services","Professional and related occupations",4800,"Good","1"
"70613",18000,18,"White only","male","Some college but no degree","Never married","No","south atlantic",25,"Private","Financial activities","Management, business, and financial occupations",0,"Good","0"
"70619",138000,60,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Management, business, and financial occupations",1670,"Bad","1"
"70636",26000,55,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","south atlantic",28,"Private","Professional and business services","Office and administrative support occupations",13200,"Good","0"
"70649",128000,45,"Asian only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Management, business, and financial occupations",1300,"Bad","1"
"70651",250000,37,"Asian only","male","Doctorate degree (for example: PHD,EDD)","Never married","No","south atlantic",24,"Private","Educational and health services","Professional and related occupations",7000,"Good","1"
"70669",26000,30,"White only","female","7th and 8th grade","Married - civilian spouse present","Yes","south atlantic",40,"Private","Leisure and hospitality","Service occupations",40,"Good","0"
"70708",5000,49,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","south atlantic",20,"Self-employed","Financial activities","Management, business, and financial occupations",600,"Good","0"
"70714",46000,66,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Private","Manufacturing","Management, business, and financial occupations",330,"Good","0"
"70729",120000,32,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",1323,"Good","1"
"70746",50000,62,"Asian only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","south atlantic",50,"Private","Other services","Professional and related occupations",0,"Good","0"
"70756",150000,48,"Asian only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Professional and related occupations",200,"Good","1"
"70772",80000,26,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","south atlantic",40,"Private","Information","Professional and related occupations",800,"Good","1"
"70776",14000,36,"White only","female","1st,2nd,3rd,or 4th grade","Married - civilian spouse present","Yes","south atlantic",40,"Private","Leisure and hospitality","Service occupations",200,"Bad","0"
"70789",60000,49,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",30,"Private","Professional and business services","Management, business, and financial occupations",3486,"Good","0"
"70825",185000,54,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",78,"Private","Wholesale and retail trade","Management, business, and financial occupations",100,"Good","1"
"70862",80000,42,"Asian only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","south atlantic",40,"Private","Information","Professional and related occupations",5260,"Good","1"
"70868",230000,64,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",70,"Private","Other services","Management, business, and financial occupations",9000,"Good","1"
"70877",95000,38,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Government","Educational and health services","Office and administrative support occupations",300,"Good","1"
"70882",51000,27,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Educational and health services","Office and administrative support occupations",1235,"Good","0"
"70885",150000,62,"Black only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Government","Educational and health services","Professional and related occupations",1115,"Good","1"
"70903",10000,20,"White only","male","Some college but no degree","Never married","Yes","south atlantic",20,"Private","Wholesale and retail trade","Sales and related occupations",200,"Good","0"
"70939",24000,60,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Divorced","Yes","south atlantic",35,"Self-employed","Professional and business services","Service occupations",1878,"Good","0"
"70960",110000,35,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Management, business, and financial occupations",1500,"Good","1"
"70980",45000,28,"Asian only","male","Some college but no degree","Never married","No","south atlantic",40,"Private","Leisure and hospitality","Management, business, and financial occupations",20,"Good","0"
"70992",100000,37,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Professional and related occupations",366,"Good","1"
"71007",220000,39,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Financial activities","Management, business, and financial occupations",1700,"Good","1"
"71010",100000,29,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Never married","No","south atlantic",40,"Private","Professional and business services","Management, business, and financial occupations",200,"Good","1"
"71024",3500,48,"Asian only","female","Some college but no degree","Married - civilian spouse present","No","south atlantic",20,"Private","Educational and health services","Service occupations",700,"Good","0"
"71025",40000,55,"Asian only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Financial activities","Installation, maintenance, and repair occupations",50,"Good","0"
"71030",110000,32,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Information","Management, business, and financial occupations",8100,"Good","1"
"71032",30000,61,"Black only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",28,"Private","Leisure and hospitality","Service occupations",1520,"Good","0"
"71055",6600,27,"White only","female","1st,2nd,3rd,or 4th grade","Divorced","No","south atlantic",10,"Private","Wholesale and retail trade","Sales and related occupations",40,"Good","0"
"71058",85000,40,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Private","Financial activities","Professional and related occupations",13045,"Good","1"
"71059",9000,39,"Asian only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Private","Leisure and hospitality","Office and administrative support occupations",200,"Good","0"
"71092",76000,31,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Other services","Management, business, and financial occupations",2700,"Good","1"
"71110",70000,57,"White only","male","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Married - civilian spouse present","No","south atlantic",50,"Self-employed","Professional and business services","Professional and related occupations",50,"Good","1"
"71119",206000,54,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Management, business, and financial occupations",12650,"Good","1"
"71141",27900,31,"White only","male","Associate degree in college - academic program","Never married","No","south atlantic",40,"Private","Leisure and hospitality","Service occupations",195,"Good","0"
"71150",142000,42,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",1200,"Good","1"
"71190",78000,41,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",50,"Private","Professional and business services","Sales and related occupations",3900,"Good","1"
"71201",110000,50,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Widowed","No","south atlantic",50,"Private","Professional and business services","Management, business, and financial occupations",350,"Good","1"
"71203",115000,56,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Professional and related occupations",7950,"Good","1"
"71229",120000,30,"Asian only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Management, business, and financial occupations",800,"Good","1"
"71237",250000,55,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Management, business, and financial occupations",1550,"Good","1"
"71243",30000,55,"White only","male","1st,2nd,3rd,or 4th grade","Married - civilian spouse present","Yes","south atlantic",48,"Private","Leisure and hospitality","Service occupations",1200,"Good","0"
"71254",97000,38,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","south atlantic",50,"Private","Construction","Construction and extraction occupations",11184,"Good","1"
"71264",55000,38,"Asian only","male","High school graduate - high school diploma or equivalent","Divorced","No","south atlantic",70,"Private","Leisure and hospitality","Transportation and material moving occupations",3800,"Good","0"
"71280",100000,51,"Asian only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",45,"Private","Financial activities","Management, business, and financial occupations",225,"Good","1"
"71288",96000,43,"Asian only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",225,"Good","1"
"71294",145000,62,"White only","male","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Divorced","No","south atlantic",70,"Private","Professional and business services","Professional and related occupations",6125,"Good","1"
"71302",122000,47,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Self-employed","Professional and business services","Professional and related occupations",4000,"Good","1"
"71316",95000,49,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Government","Public administration","Management, business, and financial occupations",3075,"Good","1"
"71328",9500,56,"Black only","female","High school graduate - high school diploma or equivalent","Never married","No","south atlantic",32,"Government","Educational and health services","Service occupations",1210,"Good","0"
"71333",35000,36,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",40,"Private","Financial activities","Office and administrative support occupations",7850,"Good","0"
"71334",80000,35,"White only","male","Some college but no degree","Married - civilian spouse present","No","south atlantic",40,"Private","Wholesale and retail trade","Service occupations",240,"Good","1"
"71348",62000,31,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",10700,"Good","1"
"71355",162000,58,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",50,"Private","Wholesale and retail trade","Management, business, and financial occupations",8050,"Good","1"
"71364",100000,50,"Black only","female","Associate degree in college - academic program","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",280,"Good","1"
"71371",25000,39,"Black only","female","Associate degree in college - academic program","Never married","No","south atlantic",40,"Private","Educational and health services","Office and administrative support occupations",1650,"Good","0"
"71374",80000,52,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",50,"Private","Wholesale and retail trade","Sales and related occupations",2651,"Good","1"
"71435",37000,35,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","south atlantic",40,"Private","Construction","Construction and extraction occupations",3600,"Good","0"
"71443",42000,54,"White only","female","High school graduate - high school diploma or equivalent","Divorced","No","south atlantic",40,"Private","Wholesale and retail trade","Sales and related occupations",720,"Good","0"
